Vintage Napa_Valley Bordeaux
2016 98 97
2015 94 94
2014 95 93
2013 97 84
2012 96 88
2011 86 91
2010 96 99
2009 96 97
2008 96 87
2007 97 85
2006 95 90
2005 92 98
2004 95 89
2003 85 95
2002 93 86
2001 93 90
2000 85 95
1999 97 87
1998 84 88
1997 99 85
1996 96 91
1995 97 95
1994 97 85
1993 88 82
1992 93 72
1991 91 72
1990 89 97
1989 85 98
1988 83 93
1987 95 76
1986 96 95
1985 97 93
